zgh_verbe	en_meaning
ⴰⴱⵔ	boil
ⴰⴳⴰ	be distant
ⴰⴳⴳⵓⴳ	be far away 
ⴰⴳⴳⵓⵎ	To desire, to hope
ⴰⴳⴳⵙ	hurt
ⴰⴳⴳⵢ	let
ⴰⴳⴳⵯ	Look over, overhang, take a look at 
ⴰⴳⴳⵯ	appear 
ⴰⴳⴹ	cut into strips
ⴰⴳⵉ	to refuse 
ⴰⴳⵍ	depend 
ⴰⴳⵍ	hang, hang, be suspended, hung 
ⴰⴳⵎ	Download (neo.) 
ⴰⴳⵎ	draw (water), get water 
ⴰⴳⵓⵎ	be impossible
ⴰⴳⵓⵔ	stay 
ⴰⴳⵔ	surpass, be above, exceed 
ⴰⴳⵔⵉ	burp
ⴰⴳⵙ	be injured, injured
ⴰⴳⵥ	to watch
ⴰⴳⵯⴷ	gently treat
ⴰⴳⵯⴷ	keep
ⴰⴳⵯⵉ	to refuse 
ⴰⴳⵯⵍ	hang, hang, hang, be suspended hung, hanged 
ⴰⴳⵯⵙ	be wounded
ⴰⴷⴷ	squeeze
ⴰⴷⴷ	to lean on
ⴰⴷⴷ	to lower
ⴰⴷⴷⵎ	drain, disgust
ⴰⴷⴷⵓⵎ	Gouting, disgusting, dripping, being drained
ⴰⴷⴷⵓⵎ	absent
ⴰⴷⴷⵓⵣ	support
ⴰⴷⴼ	plume
ⴰⴷⵏ	cover
ⴰⴷⵓ	attack
ⴰⴷⵔ	lower, bend down, leaning
ⴰⴷⵔ	to come down
ⴰⴷⵔ	to lean on
ⴰⴷⵖ	spur
ⴰⴷⵙ	approach, be close, to be close to
ⴰⴷⵣ	assess
ⴰⴷⵣ	foreseen
ⴰⴷⵣ	probe
ⴰⴹⴼ	rejoice, enjoy
ⴰⴹⴼⵓⵟ	be extremely good, to be easygoing
ⴰⴹⴼⵓⵟ	be soft, have good taste, be tasty
ⴰⴹⵏ	Be sick
ⴰⴹⵏ	suffer
ⴰⴹⵓ	bend
ⴰⴹⵓ	come back, return (intr.)
ⴰⴹⵓⴹ	breastfed
ⴰⴹⵕ	defile, be soiled, dirty
ⴰⴹⵕ	soak, be wet
ⴰⴹⵕ	to mix together
ⴰⴼ	surpass
ⴰⴼ	worth more
ⴰⴼ	discover
ⴰⴼ	power
ⴰⴼ	to find
ⴰⴼⴳ	fly, fly away
ⴰⴼⴹ	be over
ⴰⴼⴹ	go away
ⴰⴼⴼ	be bloated
ⴰⴼⵍ	be experienced
ⴰⴼⵍ	be tanned
ⴰⴼⵓ	exceed the expected weight or number
ⴰⴼⵓⴹ	go away
ⴰⴼⵓⴼ	be sieved
ⴰⴼⵔ	be numb
ⴰⴼⵔⵓ	fly, fly away
ⴰⴼⵙ	push, introduce
ⴰⴼⵙ	sneak
ⴰⴼⵙ	tamp
ⴰⴽⴰ	feel (sensation)
ⴰⴽⴰ	realize, realize
ⴰⴽⴽⴷ	fly, fly away
ⴰⴽⵉ	feel, feel
ⴰⴽⵉ	wake up
ⴰⴽⵍ	walk on, trample, tread
ⴰⴽⵎ	Shape, sting, sew
ⴰⴽⵎ	encourage
ⴰⴽⵎ	penetrate
ⴰⴽⵎⵓⵔ	be close (distance)
ⴰⴽⵎⵓⵔ	have a relationship with
ⴰⴽⵓⴼ	be torn off
ⴰⴽⵔ	steal
ⴰⴽⵔⴻⵔ	hang out
ⴰⴽⵣ	recognize
ⴰⴽⵯⵉ	Cross, jump, save yourself
ⴰⴽⵯⵉ	take a storm, attack
ⴰⵃⵍ	to be preoccupied
ⴰⵃⵍ	to be tired
ⴰⵅⵙ	grain
ⴰⵇⵇⴷ	Broke (lamb)
ⴰⵇⵇⴹ	bleat
ⴰⵊⵊ	leave, abandon
ⴰⵊⵊⵓⴼ	dash
ⴰⵊⵊⵓⴼ	tumble
ⴰⵊⵊⵡ	use wheat stored in the silo
ⴰⵊⵢ	shelter
ⴰⵍⴱⵓⴱ	suffer
ⴰⵍⴼⵓⵙ	be without help
ⴰⵍⴽ	covet
ⴰⵍⵉ	go up, get up (sun), rise, climb
ⴰⵍⵉⵍ	be rinsed
ⴰⵍⵍ	lift
ⴰⵍⵍ	load
ⴰⵍⵍ	stall
ⴰⵍⵍ	Cry, shed tears
ⴰⵍⵍⴼⵓⵙ	be busy, being busy
ⴰⵍⵍⵓⴼ	to be sad
ⴰⵍⵍⵓⴼ	to lose weight
ⴰⵍⵍⵖ	be deep
ⴰⵍⵎ	hem, garnish with a hem
ⴰⵍⵓ	bend, be folded
ⴰⵍⵓⵍ	be rinsed
ⴰⵍⵖ	soggy
ⴰⵍⵖ	rent, praise, boast
ⴰⵍⵖⵜ	be difficult
ⴰⵍⵙ	Repeat, redo, start again
ⴰⵍⵙ	tell, narrate, tell
ⴰⵍⵙⴰⵔⵉ	transcribe
ⴰⵍⵡ	get away, be flared, relax
ⴰⵍⵡⵓ	be faded
ⴰⵎⵎ	Stop, block, remember
ⴰⵎⵎⵕ	to hurry, to do quickly, to be on the point of, to prepare to
ⴰⵎⵏ	believing
ⴰⵎⵏ	judge true, real
ⴰⵎⵓ	contain, have a ability to
ⴰⵎⵓ	to participate
ⴰⵎⵓⵎ	be lose weight
ⴰⵎⵕ	order
ⴰⵎⵕ	order (give an order)
ⴰⵎⵙ	coat
ⴰⵎⵙ	dirty
ⴰⵎⵥ	Stop
ⴰⵎⵥ	Understand, hold, assimilate
ⴰⵎⵥ	adopt
ⴰⵎⵥ	hold, hold, seize
ⴰⵏⴰⴳ	wander, walk
ⴰⵏⴹ	order (give an order)
ⴰⵏⴼ	Open, be open
ⴰⵏⴼ	Repeat, regain health
ⴰⵏⴼ	go out, get out of the way
ⴰⵏⴼ	let
ⴰⵏⵏⴰⵢ	See, see, look
ⴰⵏⵏⵉ	See, see, look
ⴰⵏⵓⵏ	be erect (animal)
ⴰⵏⵣⵓ	dash
ⴰⵏⵣⵓ	tumble
ⴰⵔ	Empty, be empty, unoccupied
ⴰⵔ	open
ⴰⵔⴰ	to write
ⴰⵔⴻⵔ	be fertilized
ⴰⵔⴼ	roasting, grilling, roasting
ⴰⵔⵉ	be fixed by fate
ⴰⵔⵉ	write, transcribe, save
ⴰⵔⵉ	Protect, preserve, save
ⴰⵔⵉⴷ	be washed
ⴰⵔⵎ	Try, test, experiment
ⴰⵔⵎ	to taste
ⴰⵔⵓ	be fixed by fate
ⴰⵔⵓ	write, save, transcribe
ⴰⵔⵓ	fruits
ⴰⵔⵓ	give birth, give birth, give birth
ⴰⵔⵓⴷ	be washed, cleaned
ⴰⵔⵓⵜ	be deposed
ⴰⵔⵔ	To vomit
ⴰⵔⵔ	give back
ⴰⵔⵔⵓⵙ	be laid
ⴰⵔⵙ	sweep, clean, be cleaned
ⴰⵔⵙ	duty (debt)
ⴰⵔⵙⵙⴰ	Baus
ⴰⵔⵣ	compensate for
ⴰⵖ	light up, be lit, take (fire)
ⴰⵖ	look like
ⴰⵖ	reach, be reached
